cue_row_id,type,value,appear_time_ms,time_to_targ_ms,category
0,speed,0,0,0,0
1,dialog,dialog0,0,0,0
1,dialog,dialog1,0,0,0
2,cue,0,700,1500,p
3,cue,2,700,1500,p
4,cue,1,700,1500,p
5,cue,3,700,1500,p
6,cue,1,700,1500,p
7,cue,2,700,1500,p
8,cue,0,700,1500,p
9,cue,3,700,1500,p
10,cue,2,700,1500,p
11,cue,1,700,1500,p
12,cue,0,700,1500,p
13,cue,3,700,1500,p
14,cue,2,700,1500,p
15,cue,3,700,1500,p
16,cue,0,700,1500,p
17,cue,1,700,1500,p
18,cue,0,700,1500,p
19,cue,2,700,1500,p
20,cue,3,700,1500,p
21,cue,1,700,1500,p
22,cue,0,700,1500,p
23,cue,2,700,1500,p
24,cue,1,700,1500,p
25,cue,3,700,1500,p
26,dialog,dialog2,2500,0,0
27,speed,-1,0,0,0
28,score,-1,0,0,0
29,speed,1,0,0,0
30,cue,1,700,1500,n
31,cue,2,700,1500,n
32,cue,3,350,1500,n
33,cue,2,350,1500,n
34,cue,0,700,1500,n
35,cue,1,350,1500,n
36,cue,0,700,1500,n
37,cue,3,700,1500,n
38,cue,0,350,1500,n
39,cue,2,700,1500,n
40,cue,1,350,1500,n
41,cue,3,350,1500,n
42,cue,1,700,1500,s
43,cue,2,700,1500,s
44,cue,0,350,1500,s
45,cue,2,350,1500,s
46,cue,1,700,1500,s
47,cue,0,350,1500,s
48,cue,1,700,1500,s
49,cue,3,700,1500,s
50,cue,0,350,1500,s
51,cue,3,700,1500,s
52,cue,2,350,1500,s
53,cue,3,350,1500,s
54,cue,1,700,1500,s
55,cue,2,700,1500,s
56,cue,0,350,1500,s
57,cue,2,350,1500,s
58,cue,1,700,1500,s
59,cue,0,350,1500,s
60,cue,1,700,1500,s
61,cue,3,700,1500,s
62,cue,0,350,1500,s
63,cue,3,700,1500,s
64,cue,2,350,1500,s
65,cue,3,350,1500,s
66,cue,1,700,1500,s
67,cue,2,700,1500,s
68,cue,0,350,1500,s
69,cue,2,350,1500,s
70,cue,1,700,1500,s
71,cue,0,350,1500,s
72,cue,1,700,1500,s
73,cue,3,700,1500,s
74,cue,0,350,1500,s
75,cue,3,700,1500,s
76,cue,2,350,1500,s
77,cue,3,350,1500,s
78,cue,1,700,1500,s
79,cue,2,700,1500,s
80,cue,0,350,1500,s
81,cue,2,350,1500,s
82,cue,1,700,1500,s
83,cue,0,350,1500,s
84,cue,1,700,1500,s
85,cue,3,700,1500,s
86,cue,0,350,1500,s
87,cue,3,700,1500,s
88,cue,2,350,1500,s
89,cue,3,350,1500,s
90,cue,1,700,1500,s
91,cue,2,700,1500,s
92,cue,0,350,1500,s
93,cue,2,350,1500,s
94,cue,1,700,1500,s
95,cue,0,350,1500,s
96,cue,1,700,1500,s
97,cue,3,700,1500,s
98,cue,0,350,1500,s
99,cue,3,700,1500,s
100,cue,2,350,1500,s
101,cue,3,350,1500,s
102,cue,1,700,1500,s
103,cue,2,700,1500,s
104,cue,0,350,1500,s
105,cue,2,350,1500,s
106,cue,1,700,1500,s
107,cue,0,350,1500,s
108,cue,1,700,1500,s
109,cue,3,700,1500,s
110,cue,0,350,1500,s
111,cue,3,700,1500,s
112,cue,2,350,1500,s
113,cue,3,350,1500,s
114,cue,1,700,1500,s
115,cue,2,700,1500,s
116,cue,0,350,1500,s
117,cue,2,350,1500,s
118,cue,1,700,1500,s
119,cue,0,350,1500,s
120,cue,1,700,1500,s
121,cue,3,700,1500,s
122,cue,0,350,1500,s
123,cue,3,700,1500,s
124,cue,2,350,1500,s
125,cue,3,350,1500,s
126,cue,1,700,1500,s
127,cue,2,700,1500,s
128,cue,0,350,1500,s
129,cue,2,350,1500,s
130,cue,1,700,1500,s
131,cue,0,350,1500,s
132,cue,1,700,1500,s
133,cue,3,700,1500,s
134,cue,0,350,1500,s
135,cue,3,700,1500,s
136,cue,2,350,1500,s
137,cue,3,350,1500,s
138,cue,2,700,1500,n
139,cue,0,700,1500,n
140,cue,1,350,1500,n
141,cue,2,350,1500,n
142,cue,1,700,1500,n
143,cue,3,350,1500,n
144,cue,2,700,1500,n
145,cue,3,700,1500,n
146,cue,1,350,1500,n
147,cue,0,700,1500,n
148,cue,3,350,1500,n
149,cue,0,350,1500,n
150,cue,1,700,1500,s
151,cue,2,700,1500,s
152,cue,0,350,1500,s
153,cue,2,350,1500,s
154,cue,1,700,1500,s
155,cue,0,350,1500,s
156,cue,1,700,1500,s
157,cue,3,700,1500,s
158,cue,0,350,1500,s
159,cue,3,700,1500,s
160,cue,2,350,1500,s
161,cue,3,350,1500,s
162,cue,1,700,1500,s
163,cue,2,700,1500,s
164,cue,0,350,1500,s
165,cue,2,350,1500,s
166,cue,1,700,1500,s
167,cue,0,350,1500,s
168,cue,1,700,1500,s
169,cue,3,700,1500,s
170,cue,0,350,1500,s
171,cue,3,700,1500,s
172,cue,2,350,1500,s
173,cue,3,350,1500,s
174,cue,1,700,1500,s
175,cue,2,700,1500,s
176,cue,0,350,1500,s
177,cue,2,350,1500,s
178,cue,1,700,1500,s
179,cue,0,350,1500,s
180,cue,1,700,1500,s
181,cue,3,700,1500,s
182,cue,0,350,1500,s
183,cue,3,700,1500,s
184,cue,2,350,1500,s
185,cue,3,350,1500,s
186,cue,0,700,1500,n
187,cue,3,700,1500,n
188,cue,2,350,1500,n
189,cue,1,350,1500,n
190,cue,3,700,1500,n
191,cue,1,350,1500,n
192,cue,2,700,1500,n
193,cue,0,700,1500,n
194,cue,1,350,1500,n
195,cue,0,700,1500,n
196,cue,2,350,1500,n
197,cue,3,350,1500,n
198,cue,1,700,1500,s
199,cue,2,700,1500,s
200,cue,0,350,1500,s
201,cue,2,350,1500,s
202,cue,1,700,1500,s
203,cue,0,350,1500,s
204,cue,1,700,1500,s
205,cue,3,700,1500,s
206,cue,0,350,1500,s
207,cue,3,700,1500,s
208,cue,2,350,1500,s
209,cue,3,350,1500,s
210,cue,1,700,1500,s
211,cue,2,700,1500,s
212,cue,0,350,1500,s
213,cue,2,350,1500,s
214,cue,1,700,1500,s
215,cue,0,350,1500,s
216,cue,1,700,1500,s
217,cue,3,700,1500,s
218,cue,0,350,1500,s
219,cue,3,700,1500,s
220,cue,2,350,1500,s
221,cue,3,350,1500,s
222,cue,1,700,1500,s
223,cue,2,700,1500,s
224,cue,0,350,1500,s
225,cue,2,350,1500,s
226,cue,1,700,1500,s
227,cue,0,350,1500,s
228,cue,1,700,1500,s
229,cue,3,700,1500,s
230,cue,0,350,1500,s
231,cue,3,700,1500,s
232,cue,2,350,1500,s
233,cue,3,350,1500,s
234,cue,1,700,1500,n
235,cue,0,700,1500,n
236,cue,2,350,1500,n
237,cue,0,350,1500,n
238,cue,3,700,1500,n
239,cue,0,350,1500,n
240,cue,1,700,1500,n
241,cue,3,700,1500,n
242,cue,2,350,1500,n
243,cue,3,700,1500,n
244,cue,1,350,1500,n
245,cue,2,350,1500,n
246,cue,1,700,1500,s
247,cue,2,700,1500,s
248,cue,0,350,1500,s
249,cue,2,350,1500,s
250,cue,1,700,1500,s
251,cue,0,350,1500,s
252,cue,1,700,1500,s
253,cue,3,700,1500,s
254,cue,0,350,1500,s
255,cue,3,700,1500,s
256,cue,2,350,1500,s
257,cue,3,350,1500,s
258,cue,1,700,1500,s
259,cue,2,700,1500,s
260,cue,0,350,1500,s
261,cue,2,350,1500,s
262,cue,1,700,1500,s
263,cue,0,350,1500,s
264,cue,1,700,1500,s
265,cue,3,700,1500,s
266,cue,0,350,1500,s
267,cue,3,700,1500,s
268,cue,2,350,1500,s
269,cue,3,350,1500,s
270,cue,1,700,1500,s
271,cue,2,700,1500,s
272,cue,0,350,1500,s
273,cue,2,350,1500,s
274,cue,1,700,1500,s
275,cue,0,350,1500,s
276,cue,1,700,1500,s
277,cue,3,700,1500,s
278,cue,0,350,1500,s
279,cue,3,700,1500,s
280,cue,2,350,1500,s
281,cue,3,350,1500,s
282,cue,1,700,1500,s
283,cue,2,700,1500,s
284,cue,0,350,1500,s
285,cue,2,350,1500,s
286,cue,1,700,1500,s
287,cue,0,350,1500,s
288,cue,1,700,1500,s
289,cue,3,700,1500,s
290,cue,0,350,1500,s
291,cue,3,700,1500,s
292,cue,2,350,1500,s
293,cue,3,350,1500,s
294,cue,1,700,1500,s
295,cue,2,700,1500,s
296,cue,0,350,1500,s
297,cue,2,350,1500,s
298,cue,1,700,1500,s
299,cue,0,350,1500,s
300,cue,1,700,1500,s
301,cue,3,700,1500,s
302,cue,0,350,1500,s
303,cue,3,700,1500,s
304,cue,2,350,1500,s
305,cue,3,350,1500,s
306,cue,1,700,1500,s
307,cue,2,700,1500,s
308,cue,0,350,1500,s
309,cue,2,350,1500,s
310,cue,1,700,1500,s
311,cue,0,350,1500,s
312,cue,1,700,1500,s
313,cue,3,700,1500,s
314,cue,0,350,1500,s
315,cue,3,700,1500,s
316,cue,2,350,1500,s
317,cue,3,350,1500,s
318,cue,1,700,1500,n
319,cue,2,700,1500,n
320,cue,3,350,1500,n
321,cue,2,350,1500,n
322,cue,1,700,1500,n
323,cue,3,350,1500,n
324,cue,0,700,1500,n
325,cue,1,700,1500,n
326,cue,0,350,1500,n
327,cue,2,700,1500,n
328,cue,0,350,1500,n
329,cue,3,350,1500,n
330,cue,1,700,1500,s
331,cue,2,700,1500,s
332,cue,0,350,1500,s
333,cue,2,350,1500,s
334,cue,1,700,1500,s
335,cue,0,350,1500,s
336,cue,1,700,1500,s
337,cue,3,700,1500,s
338,cue,0,350,1500,s
339,cue,3,700,1500,s
340,cue,2,350,1500,s
341,cue,3,350,1500,s
342,cue,1,700,1500,s
343,cue,2,700,1500,s
344,cue,0,350,1500,s
345,cue,2,350,1500,s
346,cue,1,700,1500,s
347,cue,0,350,1500,s
348,cue,1,700,1500,s
349,cue,3,700,1500,s
350,cue,0,350,1500,s
351,cue,3,700,1500,s
352,cue,2,350,1500,s
353,cue,3,350,1500,s
354,cue,1,700,1500,s
355,cue,2,700,1500,s
356,cue,0,350,1500,s
357,cue,2,350,1500,s
358,cue,1,700,1500,s
359,cue,0,350,1500,s
360,cue,1,700,1500,s
361,cue,3,700,1500,s
362,cue,0,350,1500,s
363,cue,3,700,1500,s
364,cue,2,350,1500,s
365,cue,3,350,1500,s
366,cue,1,700,1500,s
367,cue,2,700,1500,s
368,cue,0,350,1500,s
369,cue,2,350,1500,s
370,cue,1,700,1500,s
371,cue,0,350,1500,s
372,cue,1,700,1500,s
373,cue,3,700,1500,s
374,cue,0,350,1500,s
375,cue,3,700,1500,s
376,cue,2,350,1500,s
377,cue,3,350,1500,s
378,cue,0,700,1500,n
379,cue,3,700,1500,n
380,cue,2,350,1500,n
381,cue,1,350,1500,n
382,cue,3,700,1500,n
383,cue,1,350,1500,n
384,cue,2,700,1500,n
385,cue,3,700,1500,n
386,cue,0,350,1500,n
387,cue,1,700,1500,n
388,cue,0,350,1500,n
389,cue,2,350,1500,n
390,cue,1,700,1500,s
391,cue,2,700,1500,s
392,cue,0,350,1500,s
393,cue,2,350,1500,s
394,cue,1,700,1500,s
395,cue,0,350,1500,s
396,cue,1,700,1500,s
397,cue,3,700,1500,s
398,cue,0,350,1500,s
399,cue,3,700,1500,s
400,cue,2,350,1500,s
401,cue,3,350,1500,s
402,cue,2,700,1500,n
403,cue,0,700,1500,n
404,cue,1,350,1500,n
405,cue,3,350,1500,n
406,cue,1,700,1500,n
407,cue,2,350,1500,n
